No,Company,Symbol,Weight,Price,Chg,% Chg
242,MSCI,MSCI,0.1%,542.28999999999996,3.54,-0.7%
243,Occidental Petroleum,OXY,0.1%,42.57,-0.31,-0.7%
244,Public Service Enterprise Group,PEG,0.1%,83.109999999999999,0.38,-0.5%
245,Rockwell Automation,ROK,0.1%,356.48000000000002,-0.68000000000000005,-0.2%
246,Fair Isaac,FICO,0.1%,1667,51.640000000000001,-3.2%
247,Delta Air Lines,DAL,0.1%,60.950000000000003,2.1800000000000002,-3.7%
248,Yum! Brands,YUM,0.1%,143.36000000000001,-3.0099999999999998,-2.1%
249,Las Vegas Sands,LVS,0.1%,57.600000000000001,0.70999999999999996,-1.2%
250,Kimberly-Clark,KMB,0.1%,118.93000000000001,0.17000000000000001,-0.1%
251,Vulcan Materials Company,VMC,0.1%,292.74000000000001,0.68000000000000005,-0.2%
252,Carnival,CCL,0.1%,29.399999999999999,-0.040000000000000000833,-0.1%
253,Cardinal Health,CAH,0.1%,161.88999999999999,2.73,-1.7%
254,ResMed,RMD,0.1%,259.49000000000001,-5.7699999999999996,-2.2%
255,IQVIA,IQV,0.1%,220.52000000000001,0.60999999999999999,-0.3%
256,Martin Marietta Materials,MLM,0.1%,621.23000000000002,1.8799999999999999,-0.3%
257,WEC Energy Group,WEC,0.1%,115.83,-0.080000000000000001665,-0.1%
258,Sysco,SYY,0.1%,77.349999999999994,-0.85999999999999999,-1.1%
259,Keurig Dr Pepper,KDP,0.1%,27.16,-0.39000000000000001,-1.4%
260,Estée Lauder Companies (The),EL,0.1%,102.16,2.6699999999999999,-2.7%
